Age,Gender,Education Level,Job Title,Years of Experience,Salary,Level
41.0,Female,PhD,Marketing Director,17.0,160000.0,Senior
31.0,Male,Bachelor's,HR Generalist,4.0,50000.0,Junior
39.0,Female,Bachelor's,Operations Manager,10.0,120000.0,Senior
30.0,Female,Bachelor's,Marketing Coordinator,2.0,40000.0,Junior
38.0,Male,Master's,IT Consultant,9.0,110000.0,Senior
45.0,Female,PhD,Product Designer,15.0,150000.0,Senior
28.0,Male,Bachelor's,Business Development Associate,2.0,40000.0,Junior
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior
44.0,Male,Bachelor's,Software Engineer,14.0,130000.0,Senior
34.0,Female,Master's,Financial Advisor,6.0,100000.0,Senior
35.0,Male,Bachelor's,Project Coordinator,9.0,95000.0,Senior
29.0,Male,Bachelor's,Business Operations Analyst,1.5,35000.0,Junior
40.0,Female,Bachelor's,Sales Representative,12.0,100000.0,Senior
31.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,Junior
33.0,Male,Bachelor's,Product Development Manager,7.0,100000.0,Senior
42.0,Female,Master's,Human Resources Manager,13.0,140000.0,Senior
28.0,Male,Bachelor's,Financial Analyst,2.0,40000.0,Junior
40.0,Female,Bachelor's,Marketing Manager,11.0,105000.0,Senior
46.0,Male,PhD,Data Scientist,18.0,160000.0,Senior
33.0,Female,Bachelor's,Operations Manager,5.0,70000.0,Junior
37.0,Male,Master's,Software Architect,9.0,120000.0,Senior
30.0,Male,Bachelor's,Marketing Specialist,3.0,45000.0,Junior
43.0,Male,Bachelor's,Project Manager,15.0,120000.0,Senior
27.0,Female,Master's,Research Scientist,1.5,50000.0,Junior
35.0,Male,Bachelor's,Operations Analyst,8.0,85000.0,Senior
42.0,Female,PhD,Marketing Manager,13.0,140000.0,Senior
32.0,Male,Bachelor's,Sales Representative,3.0,45000.0,Junior
37.0,Female,Bachelor's,Financial Analyst,9.0,100000.0,Senior
45.0,Male,Master's,Software Developer,16.0,140000.0,Senior
33.0,Female,Bachelor's,Operations Analyst,5.0,70000.0,Junior
39.0,Male,Bachelor's,Marketing Specialist,10.0,120000.0,Senior
44.0,Female,PhD,HR Manager,18.0,160000.0,Senior
29.0,Male,Bachelor's,Business Analyst,1.5,40000.0,Junior
38.0,Female,Bachelor's,Product Manager,10.0,120000.0,Senior
46.0,Male,PhD,Data Analyst,19.0,150000.0,Senior
34.0,Female,Bachelor's,Marketing Analyst,6.0,70000.0,Junior
36.0,Male,Bachelor's,Operations Manager,8.0,95000.0,Senior
31.0,Male,Bachelor's,Financial Analyst,3.0,50000.0,Junior
41.0,Female,Bachelor's,Project Coordinator,11.0,95000.0,Senior
30.0,Female,Bachelor's,Marketing Coordinator,2.0,40000.0,Junior
38.0,Male,Master's,IT Consultant,9.0,110000.0,Senior
45.0,Female,PhD,Product Designer,15.0,150000.0,Senior
28.0,Male,Bachelor's,Business Development Associate,2.0,40000.0,Junior
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior
44.0,Male,Bachelor's,Software Engineer,14.0,130000.0,Senior
34.0,Female,Master's,Financial Advisor,6.0,100000.0,Senior
35.0,Male,Bachelor's,Project Coordinator,9.0,95000.0,Senior
29.0,Male,Bachelor's,Business Operations Analyst,1.5,350.0,Junior
37.0,Female,Bachelor's,Financial Manager,10.0,120000.0,Senior
46.0,Male,PhD,Data Scientist,18.0,160000.0,Senior
31.0,Female,Bachelor's,Marketing Coordinator,3.0,50000.0,Junior
42.0,Male,Bachelor's,Operations Manager,12.0,110000.0,Senior
29.0,Female,Bachelor's,Sales Representative,1.5,40000.0,Junior
36.0,Male,Bachelor's,Marketing Specialist,8.0,95000.0,Senior
44.0,Female,Master's,HR Specialist,15.0,140000.0,Senior
33.0,Male,Bachelor's,Operations Manager,4.0,60000.0,Junior
39.0,Female,Bachelor's,Marketing Coordinator,9.0,110000.0,Senior
45.0,Male,PhD,Data Engineer,16.0,150000.0,Senior
32.0,Female,Bachelor's,Marketing Manager,4.0,60000.0,Junior
37.0,Male,Bachelor's,Financial Analyst,8.0,90000.0,Senior
30.0,Male,Bachelor's,Business Analyst,2.0,40000.0,Junior
38.0,Female,Bachelor's,Project Manager,9.0,120000.0,Senior
46.0,Male,PhD,Data Analyst,17.0,160000.0,Senior
34.0,Female,Bachelor's,Financial Analyst,5.0,70000.0,Junior
36.0,Male,Bachelor's,Product Manager,8.0,95000.0,Senior
31.0,Male,Bachelor's,Operations Analyst,3.0,50000.0,Junior
41.0,Female,Bachelor's,Project Coordinator,11.0,95000.0,Senior
29.0,Female,Bachelor's,Business Development Associate,1.5,35000.0,Junior
35.0,Male,Bachelor's,Financial Manager,9.0,100000.0,Senior
44.0,Female,PhD,Product Designer,15.0,150000.0,Senior
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior
44.0,Male,Bachelor's,Software Engineer,13.0,130000.0,Senior
32.0,Male,Bachelor's,Product Manager,4.0,65000.0,Junior
38.0,Female,Bachelor's,Business Analyst,10.0,110000.0,Senior
29.0,Female,Bachelor's,Marketing Specialist,2.0,40000.0,Junior
35.0,Male,Bachelor's,Business Development Manager,7.0,90000.0,Senior
45.0,Female,Master's,HR Manager,14.0,140000.0,Senior
33.0,Male,Bachelor's,Financial Analyst,4.0,60000.0,Junior
40.0,Female,Bachelor's,Marketing Manager,12.0,130000.0,Senior
44.0,Male,PhD,Data Scientist,16.0,160000.0,Senior
30.0,Female,Bachelor's,Operations Coordinator,2.0,40000.0,Junior
37.0,Male,Bachelor's,Marketing Analyst,9.0,100000.0,Senior
31.0,Male,Bachelor's,Project Manager,3.0,55000.0,Junior
38.0,Female,Bachelor's,Operations Coordinator,9.0,120000.0,Senior
45.0,Male,PhD,Data Engineer,16.0,150000.0,Senior
33.0,Female,Bachelor's,Marketing Manager,5.0,70000.0,Junior
36.0,Male,Bachelor's,Business Analyst,8.0,95000.0,Senior
31.0,Male,Bachelor's,Operations Analyst,3.0,50000.0,Junior
42.0,Female,Bachelor's,Project Manager,12.0,120000.0,Senior
29.0,Female,Bachelor's,Business Development Associate,1.5,35000.0,Junior
35.0,Male,Bachelor's,Financial Manager,9.0,100000.0,Senior
44.0,Female,PhD,Product Designer,15.0,150000.0,Senior
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior
44.0,Male,Bachelor's,Software Engineer,13.0,130000.0,Senior
34.0,Female,Master's,Financial Advisor,6.0,80000.0,Senior
36.0,Male,Bachelor's,Marketing Specialist,8.0,95000.0,Senior
30.0,Female,Bachelor's,HR Coordinator,2.0,40000.0,Junior
37.0,Male,Bachelor's,Business Development Manager,10.0,120000.0,Senior
45.0,Female,Master's,Marketing Manager,16.0,160000.0,Senior
32.0,Male,Bachelor's,Financial Advisor,4.0,65000.0,Junior
39.0,Female,Bachelor's,Project Manager,12.0,130000.0,Senior
29.0,Female,Bachelor's,Marketing Analyst,2.0,40000.0,Junior
36.0,Male,Bachelor's,Operations Manager,9.0,100000.0,Senior
43.0,Female,PhD,Data Scientist,15.0,150000.0,Senior
32.0,Male,Bachelor's,Marketing Coordinator,3.0,55000.0,Junior
38.0,Female,Bachelor's,Business Analyst,10.0,110000.0,Senior
31.0,Female,Bachelor's,Business Development Associate,3.0,50000.0,Junior
40.0,Male,Bachelor's,Financial Analyst,12.0,130000.0,Senior
45.0,Female,PhD,UX Designer,16.0,160000.0,Senior
33.0,Male,Bachelor's,Product Manager,4.0,60000.0,Junior
36.0,Female,Bachelor's,Marketing Manager,8.0,95000.0,Senior
29.0,Female,Bachelor's,Project Manager,2.0,40000.0,Junior
34.0,Male,Bachelor's,Operations Coordinator,7.0,90000.0,Senior
44.0,Female,PhD,Business Analyst,15.0,150000.0,Senior
33.0,Male,Bachelor's,Marketing Specialist,5.0,70000.0,Junior
35.0,Female,Bachelor's,Financial Manager,8.0,90000.0,Senior
31.0,Female,Bachelor's,Financial Analyst,3.0,50000.0,Junior
41.0,Male,Bachelor's,Product Manager,14.0,150000.0,Senior
44.0,Female,PhD,Data Engineer,16.0,160000.0,Senior
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior
28.0,Female,Bachelor's,Operations Manager,1.0,35000.0,Junior
36.0,Male,Bachelor's,Business Development Manager,8.0,110000.0,Senior
44.0,Female,PhD,Data Scientist,16.0,160000.0,Senior
31.0,Male,Bachelor's,Marketing Coordinator,3.0,55000.0,Junior
38.0,Female,Bachelor's,Business Analyst,10.0,110000.0,Senior
31.0,Female,Bachelor's,Business Development Associate,3.0,50000.0,Junior
40.0,Male,Bachelor's,Financial Analyst,12.0,130000.0,Senior
45.0,Female,PhD,UX Designer,16.0,160000.0,Senior
33.0,Male,Bachelor's,Product Manager,4.0,60000.0,Junior
36.0,Female,Bachelor's,Marketing Manager,8.0,95000.0,Senior
29.0,Female,Bachelor's,Project Manager,2.0,40000.0,Junior
34.0,Male,Bachelor's,Operations Coordinator,7.0,90000.0,Senior
44.0,Female,PhD,Business Analyst,15.0,150000.0,Senior
33.0,Male,Bachelor's,Marketing Specialist,5.0,70000.0,Junior
35.0,Female,Bachelor's,Financial Manager,8.0,90000.0,Senior
31.0,Female,Bachelor's,Financial Analyst,3.0,50000.0,Junior
41.0,Male,Bachelor's,Product Manager,14.0,150000.0,Senior
44.0,Female,PhD,Data Engineer,16.0,160000.0,Senior
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior
29.0,Female,Bachelor's,Project Manager,2.0,40000.0,Junior
34.0,Male,Bachelor's,Operations Coordinator,7.0,90000.0,Senior
44.0,Female,PhD,Business Analyst,15.0,150000.0,Senior
28.0,Male,Bachelor's,Software Engineer,7.0,175000.0,Senior
50.0,Male,PhD,Project Engineer,16.0,195000.0,Senior
35.0,Male,Master's,Software Engineer,8.0,155000.0,Senior
46.0,Female,Master's,Project Engineer,13.0,180000.0,Senior
41.0,Male,Master's,Software Engineer,11.0,165000.0,Senior
37.0,Male,Master's,Project Engineer,9.0,145000.0,Senior
37.0,Female,Master's,Software Engineer,9.0,155000.0,Senior
44.0,Female,Master's,Software Engineer,12.0,170000.0,Senior
27.0,Male,Bachelor's,Project Engineer,4.0,115000.0,Senior
35.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
42.0,Female,Master's,Project Engineer,11.0,170000.0,Senior
49.0,Male,PhD,Project Engineer,15.0,185000.0,Senior
47.0,Male,PhD,Software Engineer,14.0,175000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
41.0,Female,Master's,Project Engineer,11.0,165000.0,Senior
37.0,Male,Master's,Software Engineer,8.0,150000.0,Senior
43.0,Female,PhD,Project Engineer,13.0,180000.0,Senior
44.0,Female,Master's,Software Engineer,12.0,170000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
45.0,Male,PhD,Software Engineer,13.0,185000.0,Senior
41.0,Female,Master's,Software Engineer,12.0,160000.0,Senior
47.0,Male,PhD,Software Engineer,15.0,180000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
45.0,Male,PhD,Project Engineer,14.0,185000.0,Senior
47.0,Female,PhD,Software Engineer,14.0,170000.0,Senior
45.0,Male,PhD,Project Engineer,14.0,185000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,145000.0,Senior
44.0,Female,Master's,Project Engineer,12.0,170000.0,Senior
44.0,Female,Master's,Software Engineer,11.0,170000.0,Senior
42.0,Male,PhD,Project Engineer,14.0,175000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
31.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
45.0,Male,PhD,Project Engineer,14.0,185000.0,Senior
47.0,Female,PhD,Software Engineer,14.0,170000.0,Senior
43.0,Male,Master's,Project Engineer,12.0,165000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
36.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
43.0,Male,PhD,Software Engineer,12.0,170000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
44.0,Male,PhD,Project Engineer,12.0,170000.0,Senior
37.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
44.0,Female,Master's,Project Engineer,12.0,170000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
41.0,Male,PhD,Project Engineer,12.0,165000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
44.0,Female,Master's,Software Engineer,11.0,170000.0,Senior
36.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,145000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
31.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,145000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,12.0,165000.0,Senior
31.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
37.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
47.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
45.0,Male,PhD,Project Engineer,14.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
44.0,Female,Master's,Project Engineer,12.0,170000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
41.0,Male,PhD,Project Engineer,12.0,165000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
44.0,Female,Master's,Software Engineer,11.0,170000.0,Senior
36.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,145000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
31.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
40.0,Male,PhD,Software Engineer,12.0,160000.0,Senior
36.0,Male,Master's,Software Engineer,8.0,140000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
31.0,Male,Master's,Project Engineer,7.0,135000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
31.0,Male,Master's,Project Engineer,7.0,135000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
43.0,Female,Master's,Software Engineer,12.0,170000.0,Senior
40.0,Male,PhD,Software Engineer,12.0,160000.0,Senior
46.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
41.0,Female,PhD,Project Engineer,11.0,165000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
36.0,Male,Master's,Software Engineer,8.0,140000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
31.0,Male,Master's,Software Engineer,7.0,140000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
31.0,Male,Master's,Project Engineer,7.0,135000.0,Senior
40.0,Female,PhD,Software Engineer,12.0,160000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
40.0,Male,PhD,Software Engineer,12.0,160000.0,Senior
36.0,Male,Master's,Software Engineer,8.0,140000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
31.0,Male,Master's,Project Engineer,7.0,135000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
36.0,Male,Master's,Software Engineer,8.0,140000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
31.0,Male,Master's,Project Engineer,7.0,135000.0,Senior
40.0,Female,PhD,Software Engineer,12.0,160000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
40.0,Male,PhD,Software Engineer,12.0,160000.0,Senior
36.0,Male,Master's,Software Engineer,8.0,140000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
31.0,Male,Master's,Project Engineer,7.0,135000.0,Senior
48.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
44.0,Male,Master's,Project Engineer,11.0,170000.0,Senior
37.0,Male,Master's,Software Engineer,9.0,150000.0,Senior
31.0,Male,Master's,Project Engineer,6.0,125000.0,Senior
42.0,Male,PhD,Software Engineer,14.0,170000.0,Senior
38.0,Male,Master's,Software Engineer,10.0,155000.0,Senior
42.0,Male,PhD,Software Engineer,12.0,170000.0,Senior
47.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
39.0,Female,Master's,Software Engineer,11.0,160000.0,Senior
46.0,Male,PhD,Project Engineer,14.0,180000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
40.0,Female,PhD,Software Engineer,12.0,160000.0,Senior
41.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
47.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
39.0,Female,Master's,Software Engineer,11.0,160000.0,Senior
46.0,Male,PhD,Project Engineer,14.0,180000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
40.0,Female,PhD,Software Engineer,12.0,160000.0,Senior
41.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
47.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
39.0,Female,Master's,Software Engineer,11.0,160000.0,Senior
46.0,Male,PhD,Project Engineer,14.0,180000.0,Senior
43.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
40.0,Female,PhD,Software Engineer,12.0,160000.0,Senior
41.0,Male,PhD,Project Engineer,13.0,185000.0,Senior
47.0,Male,PhD,Project Engineer,16.0,190000.0,Senior
39.0,Female,Master's,Software Engineer,11.0,160000.0,Senior
46.0,Male,PhD,Project Engineer,14.0,180000.0,Senior
